name,hp,atk,def,type1,type2
Escavalier,172,223,187,Bug,Steel
Foongus,170,97,91,Grass,Poison
Amoonguss,249,155,139,Grass,Poison
Frillish,146,115,134,Water,Ghost
Jellicent,225,159,178,Water,Ghost
Alomomola,338,138,131,Water,
Joltik,137,110,98,Bug,Electric
Galvantula,172,201,128,Bug,Electric
Ferroseed,127,82,155,Grass,Steel
Ferrothorn,179,158,223,Grass,Steel
Klink,120,98,121,Steel,
Klang,155,150,174,Steel,
Klinklang,155,199,214,Steel,
Tynamo,111,105,78,Electric,
Eelektrik,163,156,130,Electric,
Eelektross,198,217,152,Electric,
Mega Eelektross,198,291,175,Electric,
Elgyem,146,148,100,Psychic,
Beheeyem,181,221,163,Psychic,
Litwick,137,108,98,Ghost,Fire
Lampent,155,169,115,Ghost,Fire
Chandelure,155,271,182,Ghost,Fire
Shadow Chandelure,155,271,182,,
Mega Chandelure,155,335,227,Ghost,Fire
Axew,130,154,101,Dragon,
Fraxure,165,212,123,Dragon,
Haxorus,183,284,172,Dragon,
Shadow Haxorus,183,284,172,,
Cubchoo,146,128,74,Ice,
Beartic,216,233,152,Ice,
Cryogonal,190,190,218,Ice,
Shelmet,137,72,140,Bug,
Accelgor,190,220,120,Bug,
Stunfisk,240,144,171,Ground,Electric
Galarian Stunfisk,240,144,171,,
Mienfoo,128,160,98,Fighting,
Mienshao,163,258,127,Fighting,
Druddigon,184,213,170,Dragon,
Golett,153,127,92,Ground,Ghost
Golurk,205,222,154,Ground,Ghost
Mega Golurk,205,284,202,Ground,Ghost
Pawniard,128,154,114,Dark,Steel
Bisharp,163,232,176,Dark,Steel
Bouffalant,216,195,182,Normal,
Rufflet,172,150,97,Normal,Flying
Braviary,225,232,152,Normal,Flying
Hisuian Braviary,242,213,137,,
Vullaby,172,105,139,Dark,Flying
Mandibuzz,242,129,205,Dark,Flying
Heatmor,198,204,129,Fire,
Durant,151,217,188,Bug,Steel
Deino,141,116,93,Dark,Dragon
Zweilous,176,159,135,Dark,Dragon
Hydreigon,211,256,188,Dark,Dragon
Larvesta,146,156,107,Bug,Fire
Volcarona,198,264,189,Bug,Fire
Cobalion,209,192,229,Steel,Fighting
Terrakion,209,260,192,Rock,Fighting
Shadow Terrakion,209,260,192,,
Virizion,209,192,229,Grass,Fighting
Tornadus I,188,266,164,,
Tornadus Incarnate,188,266,164,Flying,
Tornadus T,188,238,189,,
Tornadus Therian,188,238,189,Flying,
Thundurus I,188,266,164,,
Thundurus Incarnate,188,266,164,Electric,Flying
Thundurus T,188,295,161,,
Thundurus Therian,188,295,161,Electric,Flying
Shadow Thundurus T,188,295,161,,
Reshiram,205,275,211,Dragon,Fire
Shadow Reshiram,205,275,211,,
Zekrom,205,275,211,Dragon,Electric
Shadow Zekrom,205,275,211,,
Landorus I,205,261,182,,
Landorus Incarnate,205,261,182,Ground,Flying
Shadow Landorus Incarnate,205,261,182,,
Landorus-T,205,289,179,,
Landorus Therian,205,289,179,Ground,Flying
Shadow Landorus-T,205,289,179,,
Shadow Landorus Therian,205,289,179,,
Kyurem,245,246,170,Dragon,Ice
Shadow Kyurem,245,246,170,,
Kyurem White,245,310,183,Dragon,Ice
Kyurem Black,245,310,183,Dragon,Ice
Keldeo,209,260,192,Water,Fighting
Keldeo Resolute,209,260,192,Water,Fighting
Meloetta Aria,225,250,225,,
Meloetta Pirouette,225,269,188,,
Genesect,174,252,199,Bug,Steel
Chespin,148,110,106,Grass,
Quilladin,156,146,156,Grass,
Chesnaught,204,201,204,Grass,Fighting
Mega Chesnaught,204,242,282,Grass,Fighting
Fennekin,120,116,102,Fire,
Braixen,153,171,130,Fire,
Delphox,181,230,189,Fire,Psychic
Mega Delphox,181,331,235,Fire,Psychic
Froakie,121,122,84,Water,
Frogadier,144,168,114,Water,
Greninja,176,223,152,Water,Dark
Mega Greninja,176,299,180,Water,Dark
Ash-Greninja,176,339,155,,
Bunnelby,116,68,72,Normal,
Diggersby,198,112,155,Normal,Ground
Fletchling,128,95,80,Normal,Flying
Fletchinder,158,145,110,Fire,Flying
Talonflame,186,176,155,Fire,Flying
Scatterbug,116,63,63,Bug,
Spewpa,128,48,89,Bug,
Vivillon,190,176,103,Bug,Flying
Litleo,158,139,112,Fire,Normal
Pyroar,200,221,149,Fire,Normal
Mega Pyroar,200,273,198,Fire,Normal
Flabébé,127,108,120,Fairy,
Floette,144,136,151,Fairy,
Mega Eternal Floette,179,309,264,Fairy,
Florges,186,212,244,Fairy,
Skiddo,165,123,102,Grass,
Gogoat,265,196,146,Grass,
Pancham,167,145,107,Fighting,
Pangoro,216,226,146,Fighting,Dark
Furfrou,181,164,167,Normal,
Espurr,158,120,114,Psychic,
Meowstic,179,166,167,Psychic,
Mega Meowstic,179,288,201,Psychic,
Honedge,128,135,139,Steel,Ghost
Doublade,153,188,206,Steel,Ghost
Aegislash Blade,155,272,97,,
Aegislash Shield,155,97,272,,
Spritzee,186,110,113,Fairy,
Aromatisse,226,173,150,Fairy,
Swirlix,158,109,119,Fairy,
Slurpuff,193,168,163,Fairy,
Inkay,142,98,95,Dark,Psychic
Malamar,200,177,165,Dark,Psychic
Mega Malamar,200,208,222,Dark,Psychic
Binacle,123,96,120,Rock,Water
Barbaracle,176,194,205,Rock,Water
Mega Barbaracle,176,268,248,Rock,Fighting
Skrelp,137,109,109,Poison,Water
Dragalge,163,177,207,Poison,Dragon
Mega Dragalge,163,236,265,Poison,Dragon
Clauncher,137,108,117,Water,
Clawitzer,174,221,171,Water,
Helioptile,127,115,78,Electric,Normal
Heliolisk,158,219,168,Electric,Normal
Tyrunt,151,158,123,Rock,Dragon
Tyrantrum,193,227,191,Rock,Dragon
Shadow Tyrantrum,193,227,191,,
Amaura,184,124,109,Rock,Ice
Aurorus,265,186,163,Rock,Ice
Sylveon,216,203,205,Fairy,
Hawlucha,186,195,153,Fighting,Flying
Mega Hawlucha,186,280,212,Fighting,Flying
Dedenne,167,164,134,Electric,Fairy
Carbink,137,95,285,Rock,Fairy
Goomy,128,101,112,Dragon,
Sliggoo,169,159,176,Dragon,
Goodra,207,220,242,Dragon,
Klefki,149,160,179,Steel,Fairy
Phantump,125,125,103,Ghost,Grass
Trevenant,198,201,154,Ghost,Grass
Pumpkaboo Average,135,121,123,,
Pumpkaboo Small,127,122,124,,
Pumpkaboo Large,144,120,122,,
Pumpkaboo Super,153,118,120,,
Gourgeist Average,163,175,213,,
Gourgeist Small,146,171,219,,
Gourgeist Large,181,179,206,,
Gourgeist Super,198,182,200,,
Bergmite,146,117,120,Ice,
Avalugg,216,196,240,Ice,
Noibat,120,83,73,Flying,Dragon
Noivern,198,205,175,Flying,Dragon
Xerneas,246,250,185,Fairy,
Yveltal,246,250,185,Dark,Flying
Shadow Yveltal,246,250,185,,
Zygarde 50%,239,203,232,Dragon,Ground
Zygarde 10%,144,205,173,Dragon,Ground
Mega Complete Zygarde,415,403,181,Dragon,Ground
Mega Complete Zygarde,428,416,187,Dragon,Ground
Zygarde Complete,389,184,207,Dragon,Ground
Diancie,137,190,285,Rock,Fairy
Mega Diancie,137,342,235,Rock,Fairy
Hoopa Confined,173,261,187,,
Hoopa Unbound,173,311,191,,
Volcanion,190,252,216,Fire,Water
Rowlet,169,102,99,Grass,Flying
Dartrix,186,142,139,Grass,Flying
Decidueye,186,210,179,Grass,Ghost
Hisuian Decidueye,204,213,174,Grass,Fighting
Litten,128,128,79,Fire,
Torracat,163,174,103,Fire,
Incineroar,216,214,175,Fire,Dark
Popplio,137,120,103,Water,
Brionne,155,168,145,Water,
Primarina,190,232,195,Water,Fairy
Pikipek,111,136,59,Normal,Flying
Trumbeak,146,159,100,Normal,Flying
Toucannon,190,222,146,Normal,Flying
Shadow Toucannon,190,222,146,,
Yungoos,134,122,56,Normal,
Gumshoos,204,194,113,Normal,
Grubbin,132,115,85,Bug,
Charjabug,149,145,161,Bug,Electric
Vikavolt,184,254,158,Bug,Electric
Crabrawler,132,150,104,Fighting,
Crabominable,219,231,138,Fighting,Ice
Mega Crabominable,219,266,213,Fighting,Ice
Oricorio Baile,181,196,145,,
Oricorio Pom-Pom,181,196,145,,
Oricorio Sensu,181,196,145,,
Oricorio Pa'u,181,196,145,,
Cutiefly,120,110,81,Bug,Fairy
Ribombee,155,198,146,Bug,Fairy
Rockruff,128,117,78,Rock,
Lycanroc Midday,181,231,140,,
Lycanroc Dusk,181,234,139,,
Lycanroc Midnight,198,218,152,,
Wishiwashi Solo,128,46,43,,
Wishiwashi School,128,255,242,,
Mareanie,137,98,110,Poison,Water
Toxapex,137,114,273,Poison,Water
Mudbray,172,175,121,Ground,
Mudsdale,225,214,174,Ground,
Dewpider,116,72,117,Water,Bug
Araquanid,169,126,219,Water,Bug
Fomantis,120,100,64,Grass,
Lurantis,172,192,169,Grass,
Morelull,120,108,119,Grass,Fairy
Shiinotic,155,154,168,Grass,Fairy
Salandit,134,136,80,Poison,Fire
Salazzle,169,228,130,Poison,Fire
Stufful,172,136,95,Normal,Fighting
Bewear,260,226,141,Normal,Fighting
Bounsweet,123,55,69,Grass,
Steenee,141,78,94,Grass,
Tsareena,176,222,195,Grass,
Comfey,139,165,215,Fairy,
Oranguru,207,168,192,Normal,Psychic
Passimian,225,222,160,Fighting,
Wimpod,93,67,74,Bug,Water
Golisopod,181,218,226,Bug,Water
Mega Golisopod,181,260,287,Bug,Steel
Sandygast,146,120,118,Ghost,Ground
Palossand,198,178,178,Ghost,Ground
Pyukumuku,146,97,224,Water,
Type Null,216,184,184,,
Silvally,216,198,198,Normal,
Minior Meteor,155,116,194,,
Minior Core,155,218,131,,
Komala,163,216,165,Normal,
Turtonator,155,165,215,Fire,Dragon
Togedemaru,163,190,145,Electric,Steel
Mimikyu,146,177,199,Ghost,Fairy
Bruxish,169,208,145,Water,Psychic
Drampa,186,231,164,Normal,Dragon
Mega Drampa,186,278,210,Normal,Dragon
Dhelmise,172,233,179,Ghost,Grass
Jangmo-o,128,102,108,Dragon,
Hakamo-o,146,145,162,Dragon,Fighting
Kommo-o,181,222,240,Dragon,Fighting
Tapu Koko,172,250,181,Electric,Fairy
Tapu Lele,172,259,208,Psychic,Fairy
Tapu Bulu,172,249,215,Grass,Fairy
Tapu Fini,172,189,254,Water,Fairy
Cosmog,125,54,57,Psychic,
Cosmoem,125,54,242,Psychic,
Solgaleo,264,255,191,Psychic,Steel
Lunala,264,255,191,Psychic,Ghost
Nihilego,240,249,210,Rock,Poison
Buzzwole,216,236,196,Bug,Fighting
Pheromosa,174,316,85,Bug,Fighting
Xurkitree,195,330,144,Electric,
Shadow Xurkitree,195,330,144,,
Celesteela,219,207,199,Steel,Flying
Kartana,139,323,182,Grass,Steel
Shadow Kartana,139,323,182,,
Guzzlord,440,188,99,Dark,Dragon
Necrozma,219,251,195,Psychic,
Necrozma Dusk Mane,200,277,220,Psychic,Steel
Necrozma Dawn Wings,200,277,220,Psychic,Ghost
Ultra Necrozma,200,337,196,,
Magearna,190,246,225,Steel,Fairy
Mega Magearna,190,342,239,Steel,Fairy
Marshadow,207,265,190,Fighting,Ghost
Poipole,167,145,133,Poison,
Naganadel,177,263,159,Poison,Dragon
Stakataka,156,213,298,Rock,Steel
Blacephalon,142,315,148,Fire,Ghost
Zeraora,204,252,177,Electric,
Mega Zeraora,204,361,180,Electric,
Meltan,130,118,99,Steel,
Melmetal,264,226,190,Steel,
Grookey,137,122,91,Grass,
Thwackey,172,165,134,Grass,
Rillaboom,225,239,168,Grass,
Scorbunny,137,132,79,Fire,
Raboot,163,170,125,Fire,
Cinderace,190,238,163,Fire,
Shadow Cinderace,190,238,163,,
Sobble,137,132,79,Water,
Drizzile,163,186,113,Water,
Inteleon,142,262,172,Water,
Shadow Inteleon,142,262,172,,
Skwovet,172,95,86,Normal,
Greedent,260,160,156,Normal,
Wooloo,123,76,97,Normal,
Dubwool,176,159,198,Normal,
Obstagoon,212,180,194,Dark,Normal
Perrserker,172,195,162,Steel,
Sirfetch’d,158,248,176,,
Mr. Rime,190,212,179,Ice,Psychic
Runerigus,151,163,237,Ground,Ghost
Falinks,163,193,170,Fighting,
Mega Falinks,163,267,229,Fighting,
Dreepy,99,117,61,Dragon,Ghost
Drakloak,169,163,105,Dragon,Ghost
Dragapult,204,266,170,Dragon,Ghost
Zacian Hero,192,254,236,Fairy,
Zacian Crown,192,332,240,Fairy,Steel
Zamazenta Hero,192,254,236,Fighting,
Zamazenta Crown,192,250,292,Fighting,Steel
Eternatus,268,278,192,Poison,Dragon
Kubfu,150,170,112,Fighting,
Urshifu Rapid Strike,225,254,177,,
Urshifu Single Strike,225,254,177,,
Zarude,233,242,215,Dark,Grass
Regieleki,190,250,125,Electric,
Regidrago,400,202,101,Dragon,
Shadow Regidrago,400,202,101,,
Calyrex,225,162,162,Psychic,Grass
Calyrex Ice Rider,205,268,246,,
Calyrex Shadow Rider,205,324,194,,
Wyrdeer,230,206,145,Normal,Psychic
Kleavor,172,253,174,Bug,Rock
Ursaluna,277,243,181,Ground,Normal
Shadow Ursaluna,277,243,181,,
Basculegion,260,217,144,Water,Ghost
Sneasler,190,259,158,Fighting,Poison
Overqwil,198,222,171,Dark,Poison
Enamorus Incarnate,179,281,162,Fairy,Flying
Enamorus Therian,179,250,201,Fairy,Flying
Sprigatito,120,116,99,Grass,
Floragato,156,157,128,Grass,
Meowscarada,183,233,153,Grass,Dark
Fuecoco,167,112,96,Fire,
Crocalor,191,162,134,Fire,
Skeledirge,232,207,178,Fire,Ghost
Quaxly,146,120,86,Water,
Quaxwell,172,162,123,Water,
Quaquaval,198,236,159,Water,Fighting
Lechonk,144,81,79,Normal,
Oinkologne Male,242,186,153,,
Oinkologne Female,251,169,162,,
Nymble,107,81,65,Bug,
Lokix,174,199,144,Bug,Dark
Pawmi,128,95,45,Electric,
Pawmo,155,147,82,Electric,Fighting
Pawmot,172,232,141,Electric,Fighting
Smoliv,121,100,89,Grass,Normal
Dolliv,141,137,131,Grass,Normal
Arboliva,186,219,189,Grass,Normal
Charcadet,120,92,74,Fire,
Armarouge,198,234,185,Fire,Psychic
Ceruledge,181,239,189,Fire,Ghost
Tadbulb,156,104,73,Electric,
Bellibolt,240,184,165,Electric,
Mega Scovillain,163,276,170,Grass,Fire
Tinkatink,137,85,110,Fairy,Steel
Tinkatuff,163,109,145,Fairy,Steel
Tinkaton,198,155,196,Fairy,Steel
Shadow Tinkaton,198,155,196,,
Wiglett,67,109,52,Water,
Wugtrio,111,205,136,Water,
Bombirdier,172,198,172,Flying,Dark
Varoom,128,123,107,Steel,Poison
Revavroom,190,229,168,Steel,Poison
Cyclizar,172,205,142,Dragon,Normal
Orthworm,172,161,219,Steel,
Glimmet,134,187,104,Rock,Poison
Glimmora,195,246,177,Rock,Poison
Mega Glimmora,195,300,214,Rock,Poison
Greavard,137,105,106,Ghost,
Houndstone,176,186,195,Ghost,
Flamigo,193,227,145,Flying,Fighting
Cetoddle,239,119,80,Ice,
Cetitan,347,208,123,Ice,
Veluza,207,196,139,Water,Psychic
Dondozo,312,176,178,Water,
Tatsugiri,169,226,166,Dragon,Water
Mega Tatsugiri,169,262,232,Dragon,Water
Annihilape,242,220,178,Fighting,Ghost
Clodsire,277,127,151,Poison,Ground
Farigiraf,260,209,136,Normal,Psychic
Dudunsparce,268,188,150,Normal,
Kingambit,203,238,225,Dark,Steel
Great Tusk,251,249,209,Ground,Fighting
Scream Tail,234,139,251,Fairy,Psychic
Brute Bonnet,190,232,244,Grass,Dark
Flutter Mane,146,280,235,Ghost,Fairy
Slither Wing,198,261,193,Bug,Fighting
Sandy Shocks,198,244,195,Electric,Ground
Iron Treads,207,227,216,Ground,Steel
Iron Bundle,148,266,211,Ice,Water
Iron Hands,319,245,177,Fighting,Electric
Iron Jugulis,214,249,179,Dark,Flying
Iron Moth,190,281,196,Fire,Poison
Iron Thorns,225,250,200,Rock,Electric
Frigibax,163,134,86,Dragon,Ice
Arctibax,207,173,128,Dragon,Ice
Baxcalibur,229,254,168,Dragon,Ice
Shadow Baxcalibur,229,254,168,,
Mega Baxcalibur,244,331,221,Dragon,Ice
Gimmighoul Roaming,128,140,76,,
Gholdengo,202,252,190,Steel,Ghost
Wo-Chien,198,186,242,Dark,Grass
Chien-Pao,190,261,167,Dark,Ice
Ting-Lu,321,194,203,Dark,Ground
Chi-Yu,146,269,221,Dark,Fire
Roaring Moon,233,280,196,Dragon,Dark
Iron Valiant,179,279,171,Fairy,Fighting
Koraidon,205,263,223,Fighting,Dragon
Miraidon,205,263,223,Electric,Dragon
Walking Wake,188,256,188,Water,Dragon
Iron Leaves,207,259,213,Grass,Psychic
Dipplin,190,173,184,Grass,Dragon
Poltchageist,96,134,120,Grass,Ghost
Sinistea,190,225,174,Ghost,
Okidogi,186,220,191,Poison,Fighting
Munkidori,186,238,157,Poison,Psychic
Fezandipiti,186,169,208,Poison,Fairy
Ogerpon,173,219,178,Grass,
Ogerpon-W,173,219,178,,
Ogerpon-H,173,219,178,,
Ogerpon-C,173,219,178,,
Archuladon,207,250,215,,
Hydrapple,235,216,186,Grass,Dragon
Gouging Fire,213,205,208,Fire,Dragon
Raging Bolt,245,235,165,Electric,Dragon
Iron Boulder,189,227,195,Rock,Psychic
Iron Crown,189,221,200,Steel,Psychic
Terapagos,207,126,165,Normal,
Pecharunt,204,181,273,Poison,Ghost
